,entry_date,entry_price,fee,exit_date,exit_price,pnl
0,2019-05-28,0.44877,0.0002,2019-08-14,0.26353,-0.412972689796555
1,2020-02-24,0.2704,0.0002,2020-03-17,0.14694,-0.45678284023668636
2,2020-08-08,0.29527,0.0002,2021-02-07,0.41849,0.4171129677921903
3,2021-02-13,0.63309,0.0002,2021-07-18,0.5866,-0.07363347707277015
4,2021-09-01,1.2362,0.0002,2021-12-31,0.8297,-0.32903028636143017
5,2022-10-24,0.4529,0.0002,2022-12-24,0.3517,-0.2236488849635682
6,2023-04-04,0.5026,0.0002,2023-09-30,0.5149,0.024272741742936678
7,2023-11-07,0.685,0.0002,2024-01-30,0.5107,-0.2546525547445255
8,2024-03-17,0.6191,0.0002,2024-04-30,0.5006,-0.19160688095622672
